Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.27     0.00        1     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<int const*, int*>(int const*, int const*, int*)
  0.00      1.27     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_fill_n<false>::__uninit_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&)
  0.00      1.27     0.00        1     0.00     0.00  int* std::__uninitialized_default_n_1<true>::__uninit_default_n<int*, unsigned long>(int*, unsigned long)
  0.00      1.27     0.00        1     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_S_max_size(std::allocator<std::vector<int, std::allocator<int> > > const&)
  0.00      1.27     0.00        1     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_S_check_init_len(unsigned long, std::allocator<std::vector<int, std::allocator<int> > > const&)
  0.00      1.27     0.00        1     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_fill_initialize(unsigned long, std::vector<int, std::allocator<int> > const&)
  0.00      1.27     0.00        1     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::vector(unsigned long, std::vector<int, std::allocator<int> > const&, std::allocator<std::vector<int, std::allocator<int> > > const&)
  0.00      1.27     0.00        1     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::~vector()
  0.00      1.27     0.00        1     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_range_initialize<int const*>(int const*, int const*, std::forward_iterator_tag)
  0.00      1.27     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_initialize(unsigned long)
  0.00      1.27     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::initializer_list<int>, std::allocator<int> const&)
  0.00      1.27     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::vector(unsigned long, std::allocator<int> const&)
  0.00      1.27     0.00        1     0.00     0.00  void std::_Construct<int>(int*)
  0.00      1.27     0.00        1     0.00     0.00  int* std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&, std::random_access_iterator_tag)
  0.00      1.27     0.00        1     0.00     0.00  int* std::__addressof<int>(int&)
  0.00      1.27     0.00        1     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      1.27     0.00        1     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      1.27     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >* std::__do_uninit_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&)
  0.00      1.27     0.00        1     0.00     0.00  int* std::uninitialized_copy<int const*, int*>(int const*, int const*, int*)
  0.00      1.27     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >* std::uninitialized_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&)
  0.00      1.27     0.00        1     0.00     0.00  int* std::__uninitialized_copy_a<int const*, int*, int>(int const*, int const*, int*, std::allocator<int>&)
  0.00      1.27     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_fill_n_a<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      1.27     0.00        1     0.00     0.00  int* std::__uninitialized_default_n<int*, unsigned long>(int*, unsigned long)
  0.00      1.27     0.00        1     0.00     0.00  int* std::__uninitialized_default_n_a<int*, unsigned long, int>(int*, unsigned long, std::allocator<int>&)
  0.00      1.27     0.00        1     0.00     0.00  int* std::copy<int const*, int*>(int const*, int const*, int*)
  0.00      1.27     0.00        1     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      1.27     0.00        1     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      1.27     0.00        1     0.00     0.00  void std::__fill_a<int*, int>(int*, int*, int const&)
  0.00      1.27     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a1<int*, int>(int*, int*, int const&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2024 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.79% of 1.27 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    1.27                 main [1]
                0.00    1.19       1/1           testSortingAlgorithms() [2]
                0.00    0.04       1/1           testCachePerformance() [12]
                0.00    0.03       1/1           testIOPerformance() [13]
                0.00    0.01       1/1           testStatisticsCalculation() [35]
                0.00    0.00       1/1           testSearchAlgorithms() [45]
                0.00    0.00       1/1           printProfilingGuide() [339]
-----------------------------------------------
                0.00    1.19       1/1           main [1]
[2]     93.6    0.00    1.19       1         testSortingAlgorithms() [2]
                0.00    1.17       2/2           double BenchmarkRunner::runBenchmark<testSortingAlgorithms()::{lambda()#1}>(testSortingAlgorithms()::{lambda()#1}, int) [4]
                0.00    0.02       2/2           double BenchmarkRunner::runBenchmark<testSortingAlgorithms()::{lambda()#2}>(testSortingAlgorithms()::{lambda()#2}, int) [20]
                0.00    0.00       1/236         std::vector<int, std::allocator<int> >::begin() [16]
                0.00    0.00       2/11731421     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const [33]
                0.00    0.00       4/65          std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [232]
                0.00    0.00       4/14          BenchmarkRunner::BenchmarkRunner(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [284]
                0.00    0.00       4/60071       std::__new_allocator<char>::~__new_allocator() [131]
                0.00    0.00       4/14          BenchmarkRunner::printStatistics() const [286]
                0.00    0.00       4/23          std::setprecision(int) [274]
                0.00    0.00       4/14          BenchmarkRunner::~BenchmarkRunner() [285]
                0.00    0.00       3/3166053     bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [104]
                0.00    0.00       2/4           DataProcessor::DataProcessor() [329]
                0.00    0.00       2/2           __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::log2<int>(int) [338]
                0.00    0.00       2/4           DataProcessor::~DataProcessor() [330]
                0.00    0.00       2/4383110     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++() [103]
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >::vector(std::initializer_list<int>, std::allocator<int> const&) [363]
                0.00    0.00       1/1025        std::__new_allocator<int>::~__new_allocator() [148]
                0.00    0.00       1/332236      std::vector<int, std::allocator<int> >::end() [117]
                0.00    0.00       1/520         std::vector<int, std::allocator<int> >::~vector() [165]
-----------------------------------------------
                0.00    1.17      12/12          double BenchmarkRunner::runBenchmark<testSortingAlgorithms()::{lambda()#1}>(testSortingAlgorithms()::{lambda()#1}, int) [4]
[3]     91.8    0.00    1.17      12         testSortingAlgorithms()::{lambda()#1}::operator()() const [3]
                0.31    0.84      12/12          DataProcessor::inefficientSort() [5]
                0.00    0.01      12/26          DataProcessor::loadData(int) [15]
-----------------------------------------------
                0.00    1.17       2/2           testSortingAlgorithms() [2]
[4]     91.8    0.00    1.17       2         double BenchmarkRunner::runBenchmark<testSortingAlgorithms()::{lambda()#1}>(testSortingAlgorithms()::{lambda()#1}, int) [4]
                0.00    1.17      12/12          testSortingAlgorithms()::{lambda()#1}::operator()() const [3]
                0.00    0.00      10/70          std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&) [228]
                0.00    0.00      10/70          std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1000000l> > >::value, std::chrono::duration<long, std::ratio<1l, 1000000l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1000000l> >, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&) [224]
                0.00    0.00      10/70          std::chrono::duration<long, std::ratio<1l, 1000000l> >::count() const [223]
                0.00    0.00      10/94          std::vector<double, std::allocator<double> >::push_back(double&&) [212]
                0.00    0.00       2/14          std::vector<double, std::allocator<double> >::clear() [289]
                0.00    0.00       2/14          std::vector<double, std::allocator<double> >::reserve(unsigned long) [290]
                0.00    0.00       2/28          BenchmarkRunner::getAverageTime() const [252]
-----------------------------------------------
                0.31    0.84      12/12          testSortingAlgorithms()::{lambda()#1}::operator()() const [3]
[5]     90.7    0.31    0.84      12         DataProcessor::inefficientSort() [5]
                0.27    0.05 151594364/152086009     std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&) [6]
                0.28    0.00 909122728/912418689     std::vector<int, std::allocator<int> >::operator[](unsigned long) [7]
                0.23    0.00 303099012/304649226     std::vector<int, std::allocator<int> >::size() const [8]
-----------------------------------------------
                0.00    0.00  491645/152086009     void std::iter_swap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [46]
                0.27    0.05 151594364/152086009     DataProcessor::inefficientSort() [5]
[6]     25.6    0.27    0.05 152086009         std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&) [6]
                0.05    0.00 456258027/457216409     std::remove_reference<int&>::type&& std::move<int&>(int&) [9]
-----------------------------------------------
                0.00    0.00       1/912418689     testSearchAlgorithms() [45]
                0.00    0.00      12/912418689     DataProcessor::optimizedStatistics() [53]
                0.00    0.00   45948/912418689     DataProcessor::inefficientSearch(int) [68]
                0.00    0.00  250000/912418689     CacheAnalyzer::createMatrix(int, int) [17]
                0.00    0.00 1500000/912418689     CacheAnalyzer::cacheUnfriendlyMatrixSum(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [27]
                0.00    0.00 1500000/912418689     CacheAnalyzer::cacheFriendlyMatrixSum(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [47]
                0.28    0.00 909122728/912418689     DataProcessor::inefficientSort() [5]
[7]     22.4    0.28    0.00 912418689         std::vector<int, std::allocator<int> >::operator[](unsigned long) [7]
-----------------------------------------------
                0.00    0.00       1/304649226     testIOPerformance() [13]
                0.00    0.00       1/304649226     DataProcessor::getDataSize() const [94]
                0.00    0.00       2/304649226     testSearchAlgorithms() [45]
                0.00    0.00       5/304649226     std::vector<int, std::allocator<int> >::reserve(unsigned long) [87]
                0.00    0.00       6/304649226     CacheAnalyzer::cacheUnfriendlyMatrixSum(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [27]
                0.00    0.00       6/304649226     IOAnalyzer::efficientFileWrite(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<int, std::allocator<int> > const&) [84]
                0.00    0.00      12/304649226     DataProcessor::computeStatistics() [39]
                0.00    0.00      12/304649226     DataProcessor::optimizedStatistics() [53]
                0.00    0.00     501/304649226     std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [73]
                0.00    0.00     720/304649226     std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const [72]
                0.00    0.00   45948/304649226     DataProcessor::inefficientSearch(int) [68]
                0.00    0.00 1503000/304649226     CacheAnalyzer::cacheFriendlyMatrixSum(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [47]
                0.23    0.00 303099012/304649226     DataProcessor::inefficientSort() [5]
[8]     18.5    0.23    0.00 304649226         std::vector<int, std::allocator<int> >::size() const [8]
-----------------------------------------------
                0.00    0.00      12/457216409     void std::__copy_move<true, false, std::random_access_iterator_tag>::__assign_one<int, int>(int*, int*) [93]
                0.00    0.00      48/457216409     void std::__insertion_sort<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter) [71]
                0.00    0.00  332000/457216409     std::vector<int, std::allocator<int> >::push_back(int&&) [64]
                0.00    0.00  626322/457216409     void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Val_less_iter) [57]
                0.05    0.00 456258027/457216409     std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&) [6]
[9]      4.3    0.06    0.00 457216409         std::remove_reference<int&>::type&& std::move<int&>(int&) [9]
-----------------------------------------------
                0.00    0.02  250000/582000      CacheAnalyzer::createMatrix(int, int) [17]
                0.00    0.03  332000/582000      DataProcessor::loadData(int) [15]
[10]     4.3    0.00    0.06  582000         int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&) [10]
                0.04    0.01  582000/582000      int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&) [11]
-----------------------------------------------
                0.04    0.01  582000/582000      int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&) [10]
[11]     4.3    0.04    0.01  582000         int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&) [11]
                0.00    0.01  582000/582000      unsigned int std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int) [31]
                0.00    0.00 1164000/1164000     std::uniform_int_distribution<int>::param_type::a() const [108]
                0.00    0.00  582000/582000      std::uniform_int_distribution<int>::param_type::b() const [113]
-----------------------------------------------
                0.00    0.04       1/1           main [1]
[12]     2.8    0.00    0.04       1         testCachePerformance() [12]
                0.00    0.02       1/1           CacheAnalyzer::createMatrix(int, int) [17]
                0.00    0.01       1/1           double BenchmarkRunner::runBenchmark<testCachePerformance()::{lambda()#1}>(testCachePerformance()::{lambda()#1}, int) [29]
                0.00    0.00       1/1           double BenchmarkRunner::runBenchmark<testCachePerformance()::{lambda()#2}>(testCachePerformance()::{lambda()#2}, int) [49]
                0.00    0.00       2/65          std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [232]
                0.00    0.00       2/14          BenchmarkRunner::BenchmarkRunner(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [284]
                0.00    0.00       2/60071       std::__new_allocator<char>::~__new_allocator() [131]
                0.00    0.00       2/14          BenchmarkRunner::printStatistics() const [286]
                0.00    0.00       2/14          BenchmarkRunner::~BenchmarkRunner() [285]
                0.00    0.00       1/23          std::setprecision(int) [274]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::~vector() [360]
-----------------------------------------------
                0.00    0.03       1/1           main [1]
[13]     2.6    0.00    0.03       1         testIOPerformance() [13]
                0.00    0.02       1/1           double BenchmarkRunner::runBenchmark<testIOPerformance()::{lambda()#3}>(testIOPerformance()::{lambda()#3}, int) [25]
                0.00    0.02       1/1           double BenchmarkRunner::runBenchmark<testIOPerformance()::{lambda()#4}>(testIOPerformance()::{lambda()#4}, int) [26]
                0.00    0.00   10000/130000      std::vector<int, std::allocator<int> >::push_back(int const&) [14]
                0.00    0.00       1/1           double BenchmarkRunner::runBenchmark<testIOPerformance()::{lambda()#2}>(testIOPerformance()::{lambda()#2}, int) [86]
                0.00    0.00       1/304649226     std::vector<int, std::allocator<int> >::size() const [8]
                0.00    0.00       1/27          std::vector<int, std::allocator<int> >::reserve(unsigned long) [87]
                0.00    0.00       4/65          std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [232]
                0.00    0.00       4/14          BenchmarkRunner::BenchmarkRunner(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [284]
                0.00    0.00       4/60071       std::__new_allocator<char>::~__new_allocator() [131]
                0.00    0.00       4/14          BenchmarkRunner::printStatistics() const [286]
                0.00    0.00       4/14          BenchmarkRunner::~BenchmarkRunner() [285]
                0.00    0.00       2/23          std::setprecision(int) [274]
                0.00    0.00       1/17          std::vector<int, std::allocator<int> >::vector() [283]
                0.00    0.00       1/1           double BenchmarkRunner::runBenchmark<testIOPerformance()::{lambda()#1}>(testIOPerformance()::{lambda()#1}, int) [340]
                0.00    0.00       1/520         std::vector<int, std::allocator<int> >::~vector() [165]
-----------------------------------------------
                0.00    0.00   10000/130000      testIOPerformance() [13]
                0.00    0.01   60000/130000      IOAnalyzer::inefficientFileRead(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [22]
                0.00    0.01   60000/130000      IOAnalyzer::efficientFileRead(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [21]
[14]     2.6    0.01    0.02  130000         std::vector<int, std::allocator<int> >::push_back(int const&) [14]
                0.00    0.02     180/180         void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [18]
                0.00    0.00  259640/260180      int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [125]
                0.00    0.00  129820/462619      operator new(unsigned long, void*) [115]
                0.00    0.00     180/332236      std::vector<int, std::allocator<int> >::end() [117]
-----------------------------------------------
                0.00    0.00       1/26          testSearchAlgorithms() [45]
                0.00    0.00       1/26          testStatisticsCalculation() [35]
                0.00    0.01      12/26          testSortingAlgorithms()::{lambda()#1}::operator()() const [3]
                0.00    0.01      12/26          testSortingAlgorithms()::{lambda()#2}::operator()() const [19]
[15]     2.5    0.00    0.03      26         DataProcessor::loadData(int) [15]
                0.00    0.03  332000/582000      int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&) [10]
                0.00    0.00  332000/332000      std::vector<int, std::allocator<int> >::push_back(int&&) [64]
                0.00    0.00      26/27          std::vector<int, std::allocator<int> >::reserve(unsigned long) [87]
                0.00    0.00      26/26          std::vector<int, std::allocator<int> >::clear() [266]
                0.00    0.00      26/27          std::random_device::random_device() [258]
                0.00    0.00      26/27          std::random_device::operator()() [260]
                0.00    0.00      26/27          std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long) [262]
                0.00    0.00      26/27          std::uniform_int_distribution<int>::uniform_int_distribution(int, int) [264]
                0.00    0.00      26/27          std::random_device::~random_device() [259]
-----------------------------------------------
                0.00    0.00       1/236         testSortingAlgorithms() [2]
                0.00    0.00       6/236         DataProcessor::optimizedStatistics() [53]
                0.00    0.00      12/236         DataProcessor::efficientSearch(int) [50]
                0.00    0.00      13/236         DataProcessor::efficientSort() [34]
                0.00    0.00      24/236         DataProcessor::computeStatistics() [39]
                0.02    0.00     180/236         void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [18]
[16]     2.4    0.03    0.00     236         std::vector<int, std::allocator<int> >::begin() [16]
                0.00    0.00     236/730331      __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&) [111]
-----------------------------------------------
                0.00    0.02       1/1           testCachePerformance() [12]
[17]     1.9    0.00    0.02       1         CacheAnalyzer::createMatrix(int, int) [17]
                0.00    0.02  250000/582000      int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&) [10]
                0.00    0.00  250000/912418689     std::vector<int, std::allocator<int> >::operator[](unsigned long) [7]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::vector(unsigned long, std::vector<int, std::allocator<int> > const&, std::allocator<std::vector<int, std::allocator<int> > > const&) [77]
                0.00    0.00  250000/4753012     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [102]
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >::vector(unsigned long, std::allocator<int> const&) [364]
                0.00    0.00       1/520         std::vector<int, std::allocator<int> >::~vector() [165]
                0.00    0.00       1/1025        std::__new_allocator<int>::~__new_allocator() [148]
                0.00    0.00       1/3           std::__new_allocator<std::vector<int, std::allocator<int> > >::~__new_allocator() [332]
                0.00    0.00       1/27          std::random_device::random_device() [258]
                0.00    0.00       1/27          std::random_device::operator()() [260]
                0.00    0.00       1/27          std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long) [262]
                0.00    0.00       1/27          std::uniform_int_distribution<int>::uniform_int_distribution(int, int) [264]
                0.00    0.00       1/27          std::random_device::~random_device() [259]
-----------------------------------------------
                0.00    0.02     180/180         std::vector<int, std::allocator<int> >::push_back(int const&) [14]
[18]     1.8    0.00    0.02     180         void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [18]
                0.02    0.00     180/236         std::vector<int, std::allocator<int> >::begin() [16]
                0.00    0.00     180/180         std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const [72]
                0.00    0.00     540/260180      int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [125]
                0.00    0.00     360/1411        std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [146]
                0.00    0.00     360/7415022     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const [101]
                0.00    0.00     360/365         std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&) [185]
                0.00    0.00     180/49560       __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [138]
                0.00    0.00     180/688         std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long) [155]
                0.00    0.00     180/462619      operator new(unsigned long, void*) [115]
                0.00    0.00     180/705         std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long) [154]
-----------------------------------------------
